YEAR,JOB_TITLE,CATEGORY,CURRENCY,SALARY,RESIDENCE,EXPERIENCE_LEVEL,COMPANY_LOCATION,COMPANY_SIZE
2024,SOFTWARE ENGINEER,Technology,USD,100000,UNITED STATES,entry level,San Francisco,Medium
2024,MARKETING MANAGER,Marketing,GBP,60000,UNITED KINGDOM,intermediate,London,Large
2024,DATA SCIENTIST,Analytics,EUR,80000,GERMANY,senior,Berlin,Medium
2024,FINANCIAL ANALYST,Finance,USD,75000,UNITED STATES,intermediate,New York,Small
2024,HUMAN RESOURCES SPECIALIST,HR,GBP,50000,UNITED KINGDOM,entry level,Manchester,Small
2024,PRODUCT MANAGER,Product Management,USD,120000,UNITED STATES,senior,Seattle,Medium
2024,CUSTOMER SUPPORT REPRESENTATIVE,Customer Service,JPY,5000000,JAPAN,entry level,Tokyo,Medium
2024,GRAPHIC DESIGNER,Design,AUD,70000,AUSTRALIA,intermediate,Sydney,Small
2024,OPERATIONS MANAGER,Operations,USD,90000,UNITED STATES,senior,Chicago,Large
2024,SALES REPRESENTATIVE,Sales,CAD,80000,CANADA,entry level,Toronto,Medium
2024,SOFTWARE DEVELOPER,Technology,USD,95000,UNITED STATES,intermediate,Los Angeles,Medium
2024,PROJECT MANAGER,Management,EUR,85000,GERMANY,senior,Hamburg,Large
2024,QUALITY ASSURANCE ANALYST,Technology,GBP,55000,UNITED KINGDOM,entry level,Birmingham,Small
2024,UX/UI DESIGNER,Design,AUD,75000,AUSTRALIA,intermediate,Melbourne,Medium
2024,ACCOUNTANT,Finance,USD,70000,UNITED STATES,entry level,Dallas,Small
2024,HEALTHCARE CONSULTANT,Healthcare,USD,110000,UNITED STATES,senior,Boston,Large
2024,LEGAL COUNSEL,Law,GBP,90000,UNITED KINGDOM,intermediate,Edinburgh,Medium
2024,SUPPLY CHAIN ANALYST,Logistics,USD,80000,UNITED STATES,entry level,Atlanta,Medium
2024,IT MANAGER,Technology,CAD,100000,CANADA,senior,Vancouver,Large
2024,EVENT COORDINATOR,Events,USD,60000,UNITED STATES,entry level,San Diego,Small
2024,FINANCIAL PLANNER,Finance,AUD,85000,AUSTRALIA,intermediate,Brisbane,Medium
2024,SOCIAL MEDIA SPECIALIST,Marketing,USD,70000,UNITED STATES,entry level,Austin,Small
2024,RESEARCH SCIENTIST,Science,EUR,95000,GERMANY,senior,Munich,Large
2024,CUSTOMER SUCCESS MANAGER,Customer Service,GBP,65000,UNITED KINGDOM,intermediate,Manchester,Medium
2024,INTERIOR DESIGNER,Design,CAD,75000,CANADA,entry level,Montreal,Small
2024,PRODUCT MARKETING MANAGER,Marketing,USD,110000,UNITED STATES,senior,Denver,Large
2024,HR GENERALIST,HR,GBP,50000,UNITED KINGDOM,intermediate,Bristol,Medium
2024,DATABASE ADMINISTRATOR,Technology,EUR,80000,GERMANY,entry level,Stuttgart,Medium
2024,PUBLIC RELATIONS SPECIALIST,Marketing,USD,65000,UNITED STATES,intermediate,Portland,Small
2024,FINANCIAL ADVISOR,Finance,CAD,90000,CANADA,senior,Calgary,Large
2024,NURSE PRACTITIONER,Healthcare,USD,95000,UNITED STATES,intermediate,Phoenix,Medium
2024,ARCHITECT,Construction,EUR,100000,GERMANY,senior,Cologne,Large
2024,IT SUPPORT SPECIALIST,Technology,GBP,55000,UNITED KINGDOM,entry level,Liverpool,Small
2024,CONTENT WRITER,Content,EUR,60000,GERMANY,intermediate,Frankfurt,Medium
2024,LOGISTICS COORDINATOR,Logistics,USD,70000,UNITED STATES,entry level,Houston,Medium
2024,SALES MANAGER,Sales,CAD,120000,CANADA,senior,Ottawa,Large
2024,PHARMACIST,Healthcare,AUD,95000,AUSTRALIA,intermediate,Perth,Medium
2024,LEGAL ASSISTANT,Law,GBP,50000,UNITED KINGDOM,entry level,Cardiff,Small
2024,UX RESEARCHER,Design,USD,80000,UNITED STATES,intermediate,Minneapolis,Medium
2024,OPERATIONS COORDINATOR,Operations,AUD,65000,AUSTRALIA,entry level,Adelaide,Small
2024,FINANCIAL ANALYST,Finance,EUR,85000,GERMANY,senior,Dusseldorf,Large
2024,CUSTOMER SERVICE SUPERVISOR,Customer Service,USD,75000,UNITED STATES,intermediate,Miami,Medium
2024,GRAPHIC ILLUSTRATOR,Design,CAD,70000,CANADA,entry level,Quebec City,Small
2024,PUBLIC HEALTH ANALYST,Healthcare,GBP,90000,UNITED KINGDOM,senior,Glasgow,Large
2024,TECHNICAL WRITER,Technology,USD,70000,UNITED STATES,intermediate,Orlando,Medium
2024,MARKETING COORDINATOR,Marketing,AUD,55000,AUSTRALIA,entry level,Canberra,Medium
2024,SUPPLY CHAIN MANAGER,Logistics,USD,110000,UNITED STATES,senior,Philadelphia,Large
2024,SOFTWARE TESTER,Technology,GBP,60000,UNITED KINGDOM,intermediate,Leeds,Medium
2024,HR ASSISTANT,HR,CAD,50000,CANADA,entry level,Victoria,Small
